iter	Passed	Remaining
0	153	15217
1	154	7578
2	155	5028
3	156	3749
4	157	2986
5	157	2474
6	158	2106
7	159	1832
8	160	1618
9	160	1447
10	161	1307
11	162	1190
12	163	1091
13	163	1007
14	164	933
15	165	868
16	166	812
17	167	763
18	168	717
19	169	676
20	169	639
21	170	605
22	171	573
23	172	545
24	172	518
25	173	494
26	174	471
27	175	450
28	176	430
29	176	412
30	177	395
31	178	379
32	179	364
33	180	349
34	180	335
35	181	322
36	182	310
37	183	299
38	184	287
39	184	277
40	185	266
41	186	257
42	187	247
43	187	238
44	188	230
45	189	221
46	189	214
47	190	206
48	191	199
49	192	192
50	192	185
51	193	178
52	194	172
53	195	166
54	195	160
55	196	154
56	197	149
57	198	143
58	199	138
59	199	133
60	200	128
61	201	123
62	202	118
63	203	114
64	203	109
65	204	105
66	205	101
67	206	96
68	206	92
69	207	88
70	208	85
71	209	81
72	209	77
73	210	74
74	211	70
75	212	67
76	213	63
77	214	60
78	214	57
79	215	53
80	216	50
81	216	47
82	217	44
83	218	41
84	219	38
85	219	35
86	220	32
87	221	30
88	222	27
89	223	24
90	223	22
91	224	19
92	225	16
93	226	14
94	227	11
95	227	9
96	228	7
97	229	4
98	230	2
99	230	0
